devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-03T22:59:09.810,25745.0,0089PS06CT12017-07-03T22:59:07359,2273.0,2017-07-03T22:59:07.755,12.71,inch,119.0,ms,138.26,inch,FC300008,12.2,inch,10.6,11.0,-17.0,degree/10,14225.0,inch3/10,0.0,inch3/10,2764.0,mm/sec,539.37,ft/min,7.7,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:12.462,32825.0,0089PS06CT12017-07-03T22:59:10360,2274.0,2017-07-03T22:59:10.420,24.88,inch,231.0,ms,262.55,inch,FC300008,24.0,inch,17.4,6.6,-16.0,degree/10,27562.0,inch3/10,0.0,inch3/10,2759.0,mm/sec,539.37,ft/min,18.5,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:13.354,35195.0,0089PS06CT12017-07-03T22:59:11361,2275.0,2017-07-03T22:59:11.298,12.08,inch,113.0,ms,82.48,inch,FC300008,11.6,inch,7.8,10.0,15.0,degree/10,9048.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,539.37,ft/min,4.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:14.005,36935.0,0089PS06CT12017-07-03T22:59:11362,2276.0,2017-07-03T22:59:11.950,19.37,inch,179.0,ms,50.98,inch,FC300008,18.4,inch,18.4,6.6,-22.0,degree/10,22345.0,inch3/10,0.0,inch3/10,2783.0,mm/sec,539.37,ft/min,4.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:15.888,41960.0,0089PS06CT12017-07-03T22:59:13363,2277.0,2017-07-03T22:59:13.835,19.37,inch,180.0,ms,183.74,inch,FC300008,18.4,inch,18.4,6.6,876.0,degree/10,22345.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,539.37,ft/min,4.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:16.437,43430.0,0089PS06CT12017-07-03T22:59:14364,2278.0,2017-07-03T22:59:14.397,25.47,inch,236.0,ms,35.15,inch,FC300008,24.2,inch,17.4,9.0,-33.0,degree/10,37897.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,539.37,ft/min,36.8,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:17.564,46430.0,0089PS06CT12017-07-03T22:59:15365,2279.0,2017-07-03T22:59:15.515,21.81,inch,202.0,ms,98.85,inch,FC300008,21.0,inch,16.6,12.6,-36.0,degree/10,43924.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,539.37,ft/min,11.1,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:21.578,57139.0,0089PS06CT12017-07-03T22:59:19366,2280.0,2017-07-03T22:59:19.526,24.84,inch,231.0,ms,407.55,inch,FC300008,24.2,inch,17.4,8.8,-7.0,degree/10,37055.0,inch3/10,0.0,inch3/10,2759.0,mm/sec,539.37,ft/min,46.3,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:23.192,61445.0,0089PS06CT12017-07-03T22:59:21367,2281.0,2017-07-03T22:59:21.138,12.08,inch,113.0,ms,161.92,inch,FC300008,11.8,inch,9.4,9.8,-5.0,degree/10,10870.0,inch3/10,0.0,inch3/10,2743.0,mm/sec,539.37,ft/min,19.7,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:24.958,619.0,0089PS06CT12017-07-03T22:59:22368,2282.0,2017-07-03T22:59:22.904,25.47,inch,236.0,ms,165.0,inch,FC300008,25.2,inch,17.6,6.4,-10.0,degree/10,28385.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,539.37,ft/min,17.7,LB,0,0,1,0,0,0,0,1,1,0,0
